content_id,template_id,template_name,pillar,vark_mode,level,length,scenario_tags,pressure_level,lie_type,wind_condition,region_variant,script_text,cta_question,follow_up_prompt,confidence_rating_hint,do_not_say_flags
MC_00001,MC_T01_PRE_ROUND_CLARITY,Pre-Round Clarity,FOCUS,Visual,Foundation,micro,new_course;warmup_intention,low,tight,calm,AU,"One intention for today: play calm, play clear. One breath. Start.
Keep it simple and repeatable.
Picture one clear target line. See the ball start on it.",What tempo do you want to feel on the first hole?,Do you want to repeat this routine next shot?,building,No medical/therapy language. No promises/guarantees. No 'psychology' wording.
MC_00002,MC_T01_PRE_ROUND_CLARITY,Pre-Round Clarity,FOCUS,Visual,Foundation,standard,first_tee_nerves;casual_social_round,low,rough,light,AU,"Before you tee off: choose one intention. One breath. One clear plan for the first hole. That’s enough.
Keep it simple and repeatable.
Picture the target, the start line, and the finish spot. Keep it simple and vivid.",What’s your one intention today?,Want to log this as working well?,needs_support,No medical/therapy language. No promises/guarantees. No 'psychology' wording.
MC_00003,MC_T01_PRE_ROUND_CLARITY,Pre-Round Clarity,FOCUS,Visual,Foundation,deep,new_course;first_tee_nerves,low,rough,calm,AU,"Set your round in three lines: intention, tempo, response. Intention: stay present. Tempo: unhurried. Response: reset fast. Then begin.
Keep it simple and repeatable.
Build a quick 3-image loop: target → start line → calm finish. Replay it once, then commit.",What’s your one intention today?,Ready to reset and move on?,stable,No medical/therapy language. No promises/guarantees. No 'psychology' wording.
MC_00004,MC_T01_PRE_ROUND_CLARITY,Pre-Round Clarity,FOCUS,Visual,Build,micro,first_tee_nerves;casual_social_round,low,fairway_bunker,light,UK,"One intention for today: play calm, play clear. One breath. Start.
Add one detail: pace and commitment.
Picture one clear target line. See the ball start on it.",What tempo do you want to feel on the first hole?,Do you want to repeat this routine next shot?,building,No medical/therapy language. No promises/guarantees. No 'psychology' wording.
MC_00005,MC_T01_PRE_ROUND_CLARITY,Pre-Round Clarity,FOCUS,Visual,Build,standard,tournament_round;first_tee_nerves,high,tight,light,UK,"Before you tee off: choose one intention. One breath. One clear plan for the first hole. That’s enough.
Add one detail: pace and commitment.
Picture the target, the start line, and the finish spot. Keep it simple and vivid.",What’s your one intention today?,Do you want a shorter version next time?,stable,No medical/therapy language. No promises/guarantees. No 'psychology' wording.
MC_00006,MC_T01_PRE_ROUND_CLARITY,Pre-Round Clarity,FOCUS,Visual,Build,deep,first_tee_nerves;tournament_round,medium,perfect,strong,AU,"Set your round in three lines: intention, tempo, response. Intention: stay present. Tempo: unhurried. Response: reset fast. Then begin.
Add one detail: pace and commitment.
Build a quick 3-image loop: target → start line → calm finish. Replay it once, then commit.",What’s your one intention today?,Do you want to repeat this routine next shot?,needs_support,No medical/therapy language. No promises/guarantees. No 'psychology' wording.
MC_00007,MC_T01_PRE_ROUND_CLARITY,Pre-Round Clarity,FOCUS,Visual,Compete,micro,casual_social_round;first_tee_nerves,medium,perfect,strong,UK,"One intention for today: play calm, play clear. One breath. Start.
Narrow focus. Execute under pressure.
Picture one clear target line. See the ball start on it.",What’s your one intention today?,Should we keep this cue for the next hole?,building,No medical/therapy language. No promises/guarantees. No 'psychology' wording.
MC_00008,MC_T01_PRE_ROUND_CLARITY,Pre-Round Clarity,FOCUS,Visual,Compete,standard,casual_social_round;first_tee_nerves,high,fairway_bunker,moderate,US,"Before you tee off: choose one intention. One breath. One clear plan for the first hole. That’s enough.
Narrow focus. Execute under pressure.
Picture the target, the start line, and the finish spot. Keep it simple and vivid.",What tempo do you want to feel on the first hole?,Ready to reset and move on?,building,No medical/therapy language. No promises/guarantees. No 'psychology' wording.
MC_00009,MC_T01_PRE_ROUND_CLARITY,Pre-Round Clarity,FOCUS,Visual,Compete,deep,first_tee_nerves;warmup_intention,medium,greenside_bunker,moderate,AU,"Set your round in three lines: intention, tempo, response. Intention: stay present. Tempo: unhurried. Response: reset fast. Then begin.
Narrow focus. Execute under pressure.
Build a quick 3-image loop: target → start line → calm finish. Replay it once, then commit.",What’s your one intention today?,Do you want a shorter version next time?,stable,No medical/therapy language. No promises/guarantees. No 'psychology' wording.
MC_00010,MC_T01_PRE_ROUND_CLARITY,Pre-Round Clarity,FOCUS,Visual,Maintain,micro,casual_social_round;warmup_intention,low,tight,calm,EU,"One intention for today: play calm, play clear. One breath. Start.
Stay consistent. Trust what works.
Picture one clear target line. See the ball start on it.",What tempo do you want to feel on the first hole?,Do you want to repeat this routine next shot?,building,No medical/therapy language. No promises/guarantees. No 'psychology' wording.
