Section,Phrase,Intent,Tags,Notes
Section 9: Combined Intent Voice Commands,"Bogeyed 5 but reset well and stayed calm, bounced back fast",Score.Bogey + Cue.Reset + Mindset.CalmControl,,Hole + cue + mindset
Section 9: Combined Intent Voice Commands,"Bogeyed 5 but reset well and stayed calm, right?",Score.Bogey + Cue.Reset + Mindset.CalmControl,,Hole + cue + mindset
Section 9: Combined Intent Voice Commands,Double bogey but learned from it.,Score.Double + Summary.Learning,,Score + reflection
Section 9: Combined Intent Voice Commands,"Missed the green but let it go quickly, right?",Performance.Negative + Cue.LettingGo,,Event + cue
Section 9: Combined Intent Voice Commands,"Made bogey but confident I followed my plan, visualized perfectly",Score.Bogey + Summary.Strategy,,Score + strategy reflection
Section 9: Combined Intent Voice Commands,"Birdied 7 after visualizing the shot, right?",Score.Birdie + Cue.Visualization,,Score + cue
Section 9: Combined Intent Voice Commands,"Felt scattered and missed the putt, which felt great",Mindset.Scattered + Performance.Negative,,Mindset + event
Section 9: Combined Intent Voice Commands,"Missed short putt but kept emotions in check, total trust",Performance.Negative + Mindset.CalmControl,,Negative + mindset
Section 9: Combined Intent Voice Commands,"Made par even though I was distracted, mental win",Score.Par + Mindset.Distracted,,Score + mindset
Section 9: Combined Intent Voice Commands,"Mental win after hitting it in the bunker, even with pressure",Performance.Recovery + Summary.Calm,,Recovery + summary
Section 9: Combined Intent Voice Commands,"Hit the fairway after a trigger word, stayed neutral",Performance.Positive + Cue.TriggerWord,,Outcome + cue
Section 9: Combined Intent Voice Commands,"Bogeyed 5 but reset well and stayed calm, and stayed in it",Score.Bogey + Cue.Reset + Mindset.CalmControl,,Hole + cue + mindset
Section 9: Combined Intent Voice Commands,"Hooked my drive but bounced back with a reset, even with pressure",Performance.Negative + Performance.Recovery + Cue.Reset,,Event + recovery + cue
Section 9: Combined Intent Voice Commands,"Made par even though I was distracted, total trust",Score.Par + Mindset.Distracted,,Score + mindset
Section 9: Combined Intent Voice Commands,Bogey on the last but kept my focus.,Score.Bogey + Mindset.PeakFocus,,Score + mindset
Section 9: Combined Intent Voice Commands,"Saved par with deep breathing, mental win",Score.Par + Cue.DeepBreath,,Score + cue
Section 9: Combined Intent Voice Commands,"Made bogey but confident I followed my plan, right?",Score.Bogey + Summary.Strategy,,Score + strategy reflection
Section 9: Combined Intent Voice Commands,"Scrambled for bogey after a bad tee shot, focus held",Score.Bogey + Performance.Recovery,,Score + recovery
Section 9: Combined Intent Voice Commands,"Missed short putt but kept emotions in check, which felt great",Performance.Negative + Mindset.CalmControl,,Negative + mindset
Section 9: Combined Intent Voice Commands,"Birdied 7 after visualizing the shot, stayed neutral",Score.Birdie + Cue.Visualization,,Score + cue
Section 9: Combined Intent Voice Commands,Birdie after a full visualization.,Score.Birdie + Cue.Visualization,,Score + cue
Section 9: Combined Intent Voice Commands,"Missed short putt but kept emotions in check, full routine followed",Performance.Negative + Mindset.CalmControl,,Negative + mindset
Section 9: Combined Intent Voice Commands,"Scrambled for bogey after a bad tee shot, just like I practiced",Score.Bogey + Performance.Recovery,,Score + recovery
Section 9: Combined Intent Voice Commands,"Double bogey but learned from it, visualized perfectly",Score.Double + Summary.Learning,,Score + reflection
Section 9: Combined Intent Voice Commands,"Two good shots then lost focus on the approach, visualized perfectly",Performance.Positive + Mindset.Distracted,,Positive + mindset drop
Section 9: Combined Intent Voice Commands,"Bogey on the last but kept my focus, stayed neutral",Score.Bogey + Mindset.PeakFocus,,Score + mindset
Section 9: Combined Intent Voice Commands,Two good shots then lost focus on the approach,Performance.Positive + Mindset.Distracted,,Positive + mindset drop
Section 9: Combined Intent Voice Commands,Triple on 3 but trusted my pre-shot routine,Score.Triple + Routine.PreShot,,Score + routine
Section 9: Combined Intent Voice Commands,"Hit the fairway after a trigger word, mental win",Performance.Positive + Cue.TriggerWord,,Outcome + cue
Section 9: Combined Intent Voice Commands,"Hooked my drive but bounced back with a reset, full routine followed",Performance.Negative + Performance.Recovery + Cue.Reset,,Event + recovery + cue
Section 9: Combined Intent Voice Commands,"Scrambled for bogey after a bad tee shot, total trust",Score.Bogey + Performance.Recovery,,Score + recovery
Section 9: Combined Intent Voice Commands,"Made par even though I was distracted, coach",Score.Par + Mindset.Distracted,,Score + mindset
Section 9: Combined Intent Voice Commands,"Birdie after a full visualization, which felt great",Score.Birdie + Cue.Visualization,,Score + cue
Section 9: Combined Intent Voice Commands,"Bogey on the last but kept my focus, kept breathing",Score.Bogey + Mindset.PeakFocus,,Score + mindset
Section 9: Combined Intent Voice Commands,Two good shots then lost focus on the approach.,Performance.Positive + Mindset.Distracted,,Positive + mindset drop
Section 9: Combined Intent Voice Commands,"Hit the fairway after a trigger word, bounced back fast",Performance.Positive + Cue.TriggerWord,,Outcome + cue
Section 9: Combined Intent Voice Commands,"Missed the green but let it go quickly, stayed neutral",Performance.Negative + Cue.LettingGo,,Event + cue
Section 9: Combined Intent Voice Commands,"Missed the green but let it go quickly, and stayed in it",Performance.Negative + Cue.LettingGo,,Event + cue
Section 9: Combined Intent Voice Commands,"Missed short putt but kept emotions in check, bounced back fast",Performance.Negative + Mindset.CalmControl,,Negative + mindset
Section 9: Combined Intent Voice Commands,"Mental win after hitting it in the bunker, full routine followed",Performance.Recovery + Summary.Calm,,Recovery + summary
Section 9: Combined Intent Voice Commands,"Two good shots then lost focus on the approach, which felt great",Performance.Positive + Mindset.Distracted,,Positive + mindset drop
Section 9: Combined Intent Voice Commands,"Missed short putt but kept emotions in check, mental win",Performance.Negative + Mindset.CalmControl,,Negative + mindset
Section 9: Combined Intent Voice Commands,Birdie after a full visualization.,Score.Birdie + Cue.Visualization,,Score + cue
Section 9: Combined Intent Voice Commands,Missed short putt but kept emotions in check,Performance.Negative + Mindset.CalmControl,,Negative + mindset
Section 9: Combined Intent Voice Commands,"Hooked my drive but bounced back with a reset, even with pressure",Performance.Negative + Performance.Recovery + Cue.Reset,,Event + recovery + cue
Section 9: Combined Intent Voice Commands,"Saved par with deep breathing, which felt great",Score.Par + Cue.DeepBreath,,Score + cue
Section 9: Combined Intent Voice Commands,"Hooked my drive but bounced back with a reset, which felt great",Performance.Negative + Performance.Recovery + Cue.Reset,,Event + recovery + cue
Section 9: Combined Intent Voice Commands,"Missed the green but let it go quickly, just like I practiced",Performance.Negative + Cue.LettingGo,,Event + cue
Section 9: Combined Intent Voice Commands,"Birdied 7 after visualizing the shot, and stayed in it",Score.Birdie + Cue.Visualization,,Score + cue
Section 9: Combined Intent Voice Commands,"Birdied 7 after visualizing the shot, stayed neutral",Score.Birdie + Cue.Visualization,,Score + cue
Section 9: Combined Intent Voice Commands,"Two-putt par after calming myself, full routine followed",Score.Par + Mindset.CalmControl,,Score + mindset
Section 9: Combined Intent Voice Commands,"Hooked my drive but bounced back with a reset, visualized perfectly",Performance.Negative + Performance.Recovery + Cue.Reset,,Event + recovery + cue
Section 9: Combined Intent Voice Commands,"Par save thanks to my post-shot reset, bounced back fast",Score.Par + Routine.PostShot + Cue.Reset,,Score + routine + cue
Section 9: Combined Intent Voice Commands,"Made bogey but confident I followed my plan, bounced back fast",Score.Bogey + Summary.Strategy,,Score + strategy reflection
Section 9: Combined Intent Voice Commands,"Double bogey but learned from it, focus held",Score.Double + Summary.Learning,,Score + reflection
Section 9: Combined Intent Voice Commands,"Mental win after hitting it in the bunker, emotional control locked in",Performance.Recovery + Summary.Calm,,Recovery + summary
Section 9: Combined Intent Voice Commands,Mental win after hitting it in the bunker,Performance.Recovery + Summary.Calm,,Recovery + summary
Section 9: Combined Intent Voice Commands,"Mental win after hitting it in the bunker, right?",Performance.Recovery + Summary.Calm,,Recovery + summary
Section 9: Combined Intent Voice Commands,"Scrambled for bogey after a bad tee shot, focus held",Score.Bogey + Performance.Recovery,,Score + recovery
Section 9: Combined Intent Voice Commands,"Triple on 3 but trusted my pre-shot routine, visualized perfectly",Score.Triple + Routine.PreShot,,Score + routine
Section 9: Combined Intent Voice Commands,Mental win after hitting it in the bunker.,Performance.Recovery + Summary.Calm,,Recovery + summary
