Section;Phrase;Intent;Tags;Notes
Junior Zone;I remembered to reset routine and felt a little nervous;Voice.Log;Junior.Journal.Entry;Junior Zone voice journaling entry
Junior Zone;I used the reset walk and felt proud;Voice.Log;Junior.Journal.Entry;Junior Zone voice journaling entry
Junior Zone;I used the calm countdown and felt happy;Voice.Log;Junior.Journal.Entry;Junior Zone voice journaling entry
Junior Zone;I got better at visualization game and felt focused;Voice.Log;Junior.Journal.Entry;Junior Zone voice journaling entry
Junior Zone;I remembered to reset walk and felt happy;Voice.Log;Junior.Journal.Entry;Junior Zone voice journaling entry
Junior Zone;I stayed calm when positive self-talk and felt calm;Voice.Log;Junior.Journal.Entry;Junior Zone voice journaling entry
Junior Zone;I remembered to positive self-talk and felt focused;Voice.Log;Junior.Journal.Entry;Junior Zone voice journaling entry
Junior Zone;I got better at positive self-talk and felt energized;Voice.Log;Junior.Journal.Entry;Junior Zone voice journaling entry
Junior Zone;I stayed calm when mental cue card and felt a little nervous;Voice.Log;Junior.Journal.Entry;Junior Zone voice journaling entry
Junior Zone;I felt proud after calm countdown and felt energized;Voice.Log;Junior.Journal.Entry;Junior Zone voice journaling entry
Junior Zone;I got better at letting go of mistakes and felt happy;Voice.Log;Junior.Journal.Entry;Junior Zone voice journaling entry
Junior Zone;I stayed calm when deep breathing and felt curious;Voice.Log;Junior.Journal.Entry;Junior Zone voice journaling entry
Junior Zone;I remembered to deep breathing and felt happy;Voice.Log;Junior.Journal.Entry;Junior Zone voice journaling entry
Junior Zone;I remembered to deep breathing and felt energized;Voice.Log;Junior.Journal.Entry;Junior Zone voice journaling entry
Junior Zone;Next time I’ll try reset walk and felt energized;Voice.Log;Junior.Journal.Entry;Junior Zone voice journaling entry
Junior Zone;Today I learned visualization game and felt relieved;Voice.Log;Junior.Journal.Entry;Junior Zone voice journaling entry
Junior Zone;I practiced deep breathing and felt excited;Voice.Log;Junior.Journal.Entry;Junior Zone voice journaling entry
Junior Zone;I felt proud after positive self-talk and felt excited;Voice.Log;Junior.Journal.Entry;Junior Zone voice journaling entry
Junior Zone;I remembered to mental cue card and felt energized;Voice.Log;Junior.Journal.Entry;Junior Zone voice journaling entry
Junior Zone;I practiced calm countdown and felt focused;Voice.Log;Junior.Journal.Entry;Junior Zone voice journaling entry
Junior Zone;I used the letting go of mistakes and felt a little nervous;Voice.Log;Junior.Journal.Entry;Junior Zone voice journaling entry
Junior Zone;I felt proud after routine with a friend and felt excited;Voice.Log;Junior.Journal.Entry;Junior Zone voice journaling entry
Junior Zone;I practiced focus game and felt focused;Voice.Log;Junior.Journal.Entry;Junior Zone voice journaling entry
Junior Zone;I got better at reset walk and felt happy;Voice.Log;Junior.Journal.Entry;Junior Zone voice journaling entry
Junior Zone;I stayed calm when reset routine and felt excited;Voice.Log;Junior.Journal.Entry;Junior Zone voice journaling entry
Junior Zone;Today I learned deep breathing and felt a little nervous;Voice.Log;Junior.Journal.Entry;Junior Zone voice journaling entry
