User Phrase (Youth Tone);System Prompt (Clarification);User Response (Follow-Up);Intent
I was kinda nervous but went for it.;Shall I mark that as a confidence boost?;That was my round reflection.;Journal.OffDay.Reflection
My brain was like, 'you got this!';Awesome. Which hole was that on?;That was my round reflection.;Log.Score.Hole.14
Coach told me to just chill and swing.;Cool — was that part of your routine?;That was my round reflection.;Journal.Game.Struggle
Man, that shot felt awesome!;Noted. Want to rate your mindset?;Yep, did my whole pre-shot thing.;Coach.Response.Encouragement
Coach told me to just chill and swing.;Want to include how you bounced back?;It helped me feel more focused.;Performance.Feedback.Self
I focused real hard before that drive.;Cool — was that part of your routine?;I took a deep breath before swinging.;Log.Score.Hole.14
Guess what? I birdied hole 3!;Would you like to log a cue used there?;I think I stayed pretty calm.;Cue.Visualization
Coach told me to just chill and swing.;Would you like to log a cue used there?;Felt great to bounce back after that.;Coach.Response.Encouragement
I wasn't feelin' it but did it anyway.;Awesome. Which hole was that on?;Definitely boosted my confidence.;Log.Score.Hole.14
I wasn't feelin' it but did it anyway.;Awesome. Which hole was that on?;I took a deep breath before swinging.;ShotLog.Technical.Club.7Iron
I focused real hard before that drive.;Okay, should I mark that as a miss?;I took a deep breath before swinging.;Mindset.Confidence.Boost
Coach told me to just chill and swing.;Is this a journal entry for today?;Yeah, I used my 7 iron for that.;Mindset.Confidence.Boost
Man, that shot felt awesome!;Noted. Want to rate your mindset?;It was on hole 14, par 3.;Journal.OffDay.Reflection
Man, that shot felt awesome!;Should I tag this as junior feedback?;That was my round reflection.;ShotLog.Technical.Club.7Iron
I focused real hard before that drive.;Awesome. Which hole was that on?;Definitely boosted my confidence.;Coach.Response.Encouragement
Coach told me to just chill and swing.;Should I tag this as junior feedback?;Definitely boosted my confidence.;Mindset.Confidence.Boost
Guess what? I birdied hole 3!;Cool — was that part of your routine?;Yep, did my whole pre-shot thing.;Coach.Response.Encouragement
I focused real hard before that drive.;Noted. Want to rate your mindset?;Yeah, log it under junior stuff.;Journal.OffDay.Reflection
I focused real hard before that drive.;Would you like to log a cue used there?;It was on hole 14, par 3.;Journal.Game.Struggle
Coach told me to just chill and swing.;Is this a journal entry for today?;Felt great to bounce back after that.;Routine.PreShot
Guess what? I birdied hole 3!;Shall I mark that as a confidence boost?;Felt great to bounce back after that.;Log.Score.Hole.14
Ugh, I totally messed that up.;Should I tag this as junior feedback?;It was on hole 14, par 3.;Mindset.Confidence.Boost
I wasn't feelin' it but did it anyway.;Awesome. Which hole was that on?;It was on hole 14, par 3.;Log.Score.Hole.14
Visualization helped me big time there.;Should I tag this as junior feedback?;Felt great to bounce back after that.;Mindset.Confidence.Boost
Visualization helped me big time there.;Cool — was that part of your routine?;Yep, did my whole pre-shot thing.;Junior.Motivation
Man, that shot felt awesome!;Want to include how you bounced back?;I think I stayed pretty calm.;Log.Score.Hole.14
My brain was like, 'you got this!';Okay, should I mark that as a miss?;Felt great to bounce back after that.;Routine.PreShot
My brain was like, 'you got this!';Noted. Want to rate your mindset?;Definitely boosted my confidence.;Cue.Visualization
Man, that shot felt awesome!;Want to include how you bounced back?;Yep, did my whole pre-shot thing.;Log.Score.Hole.14
Ugh, I totally messed that up.;Shall I mark that as a confidence boost?;I think I stayed pretty calm.;Journal.OffDay.Reflection
Coach told me to just chill and swing.;Got it — logging that. Want to add the club?;That was my round reflection.;ShotLog.Technical.Club.7Iron
My brain was like, 'you got this!';Want to include how you bounced back?;Definitely boosted my confidence.;Coach.Response.Encouragement
My brain was like, 'you got this!';Would you like to log a cue used there?;That was my round reflection.;Coach.Response.Encouragement
My brain was like, 'you got this!';Want to include how you bounced back?;I think I stayed pretty calm.;Junior.Motivation
Ugh, I totally messed that up.;Okay, should I mark that as a miss?;It helped me feel more focused.;Coach.Response.Encouragement
Guess what? I birdied hole 3!;Should I tag this as junior feedback?;It helped me feel more focused.;Journal.Game.Struggle
I was kinda nervous but went for it.;Shall I mark that as a confidence boost?;It was on hole 14, par 3.;Performance.Feedback.Self
Visualization helped me big time there.;Noted. Want to rate your mindset?;I think I stayed pretty calm.;Coach.Response.Encouragement
Guess what? I birdied hole 3!;Got it — logging that. Want to add the club?;Yep, did my whole pre-shot thing.;Performance.Feedback.Self
My brain was like, 'you got this!';Shall I mark that as a confidence boost?;That was my round reflection.;Performance.Feedback.Self
Coach told me to just chill and swing.;Cool — was that part of your routine?;Yep, did my whole pre-shot thing.;Log.Score.Hole.14
I was kinda nervous but went for it.;Would you like to log a cue used there?;Yeah, I used my 7 iron for that.;Mindset.Confidence.Boost
Man, that shot felt awesome!;Okay, should I mark that as a miss?;Yeah, I used my 7 iron for that.;Journal.Game.Struggle
I focused real hard before that drive.;Is this a journal entry for today?;I think I stayed pretty calm.;Coach.Response.Encouragement
Visualization helped me big time there.;Got it — logging that. Want to add the club?;Yeah, log it under junior stuff.;Coach.Response.Encouragement
Coach told me to just chill and swing.;Would you like to log a cue used there?;Yeah, log it under junior stuff.;Log.Score.Hole.14
Man, that shot felt awesome!;Noted. Want to rate your mindset?;I took a deep breath before swinging.;Log.Score.Hole.14
Coach told me to just chill and swing.;Got it — logging that. Want to add the club?;Felt great to bounce back after that.;Junior.Motivation
I focused real hard before that drive.;Want to include how you bounced back?;Felt great to bounce back after that.;Journal.OffDay.Reflection
Ugh, I totally messed that up.;Should I tag this as junior feedback?;Definitely boosted my confidence.;ShotLog.Technical.Club.7Iron
My brain was like, 'you got this!';Got it — logging that. Want to add the club?;I took a deep breath before swinging.;Journal.Game.Struggle
Ugh, I totally messed that up.;Noted. Want to rate your mindset?;Yeah, I used my 7 iron for that.;Performance.Feedback.Self
My brain was like, 'you got this!';Noted. Want to rate your mindset?;It helped me feel more focused.;ShotLog.Technical.Club.7Iron
My brain was like, 'you got this!';Noted. Want to rate your mindset?;It helped me feel more focused.;Log.Score.Hole.14
I was kinda nervous but went for it.;Is this a journal entry for today?;That was my round reflection.;Cue.Visualization
I focused real hard before that drive.;Is this a journal entry for today?;Definitely boosted my confidence.;Performance.Feedback.Self
Ugh, I totally messed that up.;Would you like to log a cue used there?;It helped me feel more focused.;Routine.PreShot
Guess what? I birdied hole 3!;Got it — logging that. Want to add the club?;Felt great to bounce back after that.;Journal.Game.Struggle
