Phrase,Intent,Tags,Notes
Hit a 7-iron from 45 feet.,ShotLog.Technical,"Club:7-iron,Distance:45 feet,Condition:dry fairway,Shape:fade,Outcome:rolled off the back,Hole:hole 14",Technical shot voice log for NLP training
"Used my pitching wedge on hole 16, 150 yards, from the bunker.",ShotLog.Technical,"Club:pitching wedge,Distance:150 yards,Condition:from the bunker,Shape:slice,Outcome:in the rough,Hole:hole 16",Technical shot voice log for NLP training
Hit a putter from 5 feet.,ShotLog.Technical,"Club:putter,Distance:5 feet,Condition:off the tee,Shape:push,Outcome:in the rough,Hole:hole 13",Technical shot voice log for NLP training
"Putter shot from 170 yards, with a headwind, landed rolled off the back.",ShotLog.Technical,"Club:putter,Distance:170 yards,Condition:with a headwind,Shape:fade,Outcome:rolled off the back,Hole:hole 7",Technical shot voice log for NLP training
"Pitching wedge shot from 300 yards, dry fairway, landed .",ShotLog.Technical,"Club:pitching wedge,Distance:300 yards,Condition:dry fairway,Shape:draw,Outcome:None,Hole:hole 3",Technical shot voice log for NLP training
"Used my sand wedge on hole 18, 80 feet, tight lie.",ShotLog.Technical,"Club:sand wedge,Distance:80 feet,Condition:tight lie,Shape:fade,Outcome:in the water,Hole:hole 18",Technical shot voice log for NLP training
"Took a pitching wedge from 90 yards , result was in the rough.",ShotLog.Technical,"Club:pitching wedge,Distance:90 yards,Condition:None,Shape:pull,Outcome:in the rough,Hole:hole 2",Technical shot voice log for NLP training
Hit a 3-iron from 90 yards.,ShotLog.Technical,"Club:3-iron,Distance:90 yards,Condition:None,Shape:draw,Outcome:missed long,Hole:hole 15",Technical shot voice log for NLP training
"Hit a 2-iron from 220 yards, shot a draw.",ShotLog.Technical,"Club:2-iron,Distance:220 yards,Condition:with a tailwind,Shape:draw,Outcome:missed short,Hole:hole 7",Technical shot voice log for NLP training
Hit a hybrid from 95 feet tight lie.,ShotLog.Technical,"Club:hybrid,Distance:95 feet,Condition:tight lie,Shape:draw,Outcome:in the rough,Hole:hole 8",Technical shot voice log for NLP training
"Putting for 250 yards, missed landed on the green.",ShotLog.Technical,"Club:pitching wedge,Distance:250 yards,Condition:dry fairway,Shape:draw,Outcome:landed on the green,Hole:hole 10",Technical shot voice log for NLP training
"Used my 3-wood on hole 8, 130 yards, uphill.",ShotLog.Technical,"Club:3-wood,Distance:130 yards,Condition:uphill,Shape:push,Outcome:in the rough,Hole:hole 8",Technical shot voice log for NLP training
"Sand wedge shot from 190 yards, into the wind, landed missed right.",ShotLog.Technical,"Club:sand wedge,Distance:190 yards,Condition:into the wind,Shape:fade,Outcome:missed right,Hole:hole 3",Technical shot voice log for NLP training
Hit a hybrid from 100 feet with a headwind.,ShotLog.Technical,"Club:hybrid,Distance:100 feet,Condition:with a headwind,Shape:slice,Outcome:in the water,Hole:hole 9",Technical shot voice log for NLP training
"Hit a sand wedge from 25 feet from the rough, and it on the fairway.",ShotLog.Technical,"Club:sand wedge,Distance:25 feet,Condition:from the rough,Shape:None,Outcome:on the fairway,Hole:hole 3",Technical shot voice log for NLP training
"Played a pull with my putter from 15 feet, ended up missed long.",ShotLog.Technical,"Club:putter,Distance:15 feet,Condition:from the rough,Shape:pull,Outcome:missed long,Hole:hole 7",Technical shot voice log for NLP training
Pushed a 6-iron into the landed on the green.,ShotLog.Technical,"Club:6-iron,Distance:280 yards,Condition:None,Shape:hook,Outcome:landed on the green,Hole:hole 5",Technical shot voice log for NLP training
"Used my 9-iron on hole 6, 30 feet, dry fairway.",ShotLog.Technical,"Club:9-iron,Distance:30 feet,Condition:dry fairway,Shape:slice,Outcome:stayed on the fringe,Hole:hole 6",Technical shot voice log for NLP training
Hit a driver from 100 yards dry fairway.,ShotLog.Technical,"Club:driver,Distance:100 yards,Condition:dry fairway,Shape:draw,Outcome:in the bunker,Hole:hole 11",Technical shot voice log for NLP training
"Took a 7-iron from 90 yards dry fairway, result was landed on the green.",ShotLog.Technical,"Club:7-iron,Distance:90 yards,Condition:dry fairway,Shape:draw,Outcome:landed on the green,Hole:hole 6",Technical shot voice log for NLP training
"Putting for 50 yards, missed missed right.",ShotLog.Technical,"Club:5-wood,Distance:50 yards,Condition:into the wind,Shape:straight,Outcome:missed right,Hole:hole 8",Technical shot voice log for NLP training
Hit a 5-iron from 50 feet.,ShotLog.Technical,"Club:5-iron,Distance:50 feet,Condition:from a bad lie,Shape:None,Outcome:in the bunker,Hole:hole 16",Technical shot voice log for NLP training
"6-iron shot from 45 feet, dry fairway, landed hit a tree.",ShotLog.Technical,"Club:6-iron,Distance:45 feet,Condition:dry fairway,Shape:slice,Outcome:hit a tree,Hole:hole 13",Technical shot voice log for NLP training
"Played a pull with my lob wedge from 40 feet, ended up in the rough.",ShotLog.Technical,"Club:lob wedge,Distance:40 feet,Condition:None,Shape:pull,Outcome:in the rough,Hole:hole 10",Technical shot voice log for NLP training
"Used my lob wedge on hole 13, 220 yards, dry fairway.",ShotLog.Technical,"Club:lob wedge,Distance:220 yards,Condition:dry fairway,Shape:slice,Outcome:in the water,Hole:hole 13",Technical shot voice log for NLP training
"Hit a putter from 90 feet, shot a .",ShotLog.Technical,"Club:putter,Distance:90 feet,Condition:from a bad lie,Shape:None,Outcome:missed right,Hole:hole 14",Technical shot voice log for NLP training
"Hit a 3-wood from 50 feet, shot a .",ShotLog.Technical,"Club:3-wood,Distance:50 feet,Condition:from the bunker,Shape:None,Outcome:None,Hole:hole 15",Technical shot voice log for NLP training
"Took a 3-iron from 95 feet into the wind, result was missed short.",ShotLog.Technical,"Club:3-iron,Distance:95 feet,Condition:into the wind,Shape:straight,Outcome:missed short,Hole:hole 5",Technical shot voice log for NLP training
"Hit a 5-wood from 80 feet with a tailwind, and it in the rough.",ShotLog.Technical,"Club:5-wood,Distance:80 feet,Condition:with a tailwind,Shape:slice,Outcome:in the rough,Hole:hole 11",Technical shot voice log for NLP training
"Hit a 7-iron from 60 feet, shot a push.",ShotLog.Technical,"Club:7-iron,Distance:60 feet,Condition:downhill,Shape:push,Outcome:missed long,Hole:hole 15",Technical shot voice log for NLP training
Hit a 3-wood from 290 yards.,ShotLog.Technical,"Club:3-wood,Distance:290 yards,Condition:with a headwind,Shape:hook,Outcome:missed left,Hole:hole 17",Technical shot voice log for NLP training
"Putting for 80 feet, missed landed on the green.",ShotLog.Technical,"Club:4-iron,Distance:80 feet,Condition:uphill,Shape:straight,Outcome:landed on the green,Hole:hole 2",Technical shot voice log for NLP training
"Putting for 65 feet, missed on the fairway.",ShotLog.Technical,"Club:pitching wedge,Distance:65 feet,Condition:dry fairway,Shape:fade,Outcome:on the fairway,Hole:hole 1",Technical shot voice log for NLP training
Hit a 4-iron from 150 yards.,ShotLog.Technical,"Club:4-iron,Distance:150 yards,Condition:off a downhill slope,Shape:slice,Outcome:stayed on the fringe,Hole:hole 6",Technical shot voice log for NLP training
Pushed a 8-iron into the stayed on the fringe.,ShotLog.Technical,"Club:8-iron,Distance:65 feet,Condition:with a tailwind,Shape:None,Outcome:stayed on the fringe,Hole:hole 3",Technical shot voice log for NLP training
"Hit a hybrid from 130 yards into the wind, and it .",ShotLog.Technical,"Club:hybrid,Distance:130 yards,Condition:into the wind,Shape:hook,Outcome:None,Hole:hole 12",Technical shot voice log for NLP training
"3-iron shot from 10 feet, crosswind from the left, landed in the bunker.",ShotLog.Technical,"Club:3-iron,Distance:10 feet,Condition:crosswind from the left,Shape:None,Outcome:in the bunker,Hole:hole 3",Technical shot voice log for NLP training
"Took a 5-wood from 45 feet from a bad lie, result was landed on the green.",ShotLog.Technical,"Club:5-wood,Distance:45 feet,Condition:from a bad lie,Shape:draw,Outcome:landed on the green,Hole:hole 9",Technical shot voice log for NLP training
Hit a 6-iron from 65 feet.,ShotLog.Technical,"Club:6-iron,Distance:65 feet,Condition:off the tee,Shape:hook,Outcome:missed long,Hole:hole 2",Technical shot voice log for NLP training
Pushed a 3-iron into the in the rough.,ShotLog.Technical,"Club:3-iron,Distance:170 yards,Condition:uphill,Shape:straight,Outcome:in the rough,Hole:hole 8",Technical shot voice log for NLP training
"Used my lob wedge on hole 9, 210 yards, crosswind from the left.",ShotLog.Technical,"Club:lob wedge,Distance:210 yards,Condition:crosswind from the left,Shape:draw,Outcome:stayed on the fringe,Hole:hole 9",Technical shot voice log for NLP training
Hit a lob wedge from 200 yards with a tailwind.,ShotLog.Technical,"Club:lob wedge,Distance:200 yards,Condition:with a tailwind,Shape:draw,Outcome:rolled off the back,Hole:hole 17",Technical shot voice log for NLP training
"9-iron shot from 15 feet, off the tee, landed on the fairway.",ShotLog.Technical,"Club:9-iron,Distance:15 feet,Condition:off the tee,Shape:push,Outcome:on the fairway,Hole:hole 2",Technical shot voice log for NLP training
