Prompt;VARK Style;Mental Pillar
I imagined a laser line to the target before swinging;Visual;Confidence
I focused on the shape of the fairway visually;Visual;Focus
I imagined a laser line to the target before swinging;Visual;Confidence
I imagined a laser line to the target before swinging;Read/Write;Focus
I imagined a laser line to the target before swinging;Visual;Focus
I used a slow breath to physically reset and confidence;Kinesthetic;Confidence
I pictured the flagstick in my mind and zoned in;Visual;Control
I pictured the flagstick in my mind and zoned in;Read/Write;Focus
I told myself I’ve hit this shot perfectly before;Aural;Confidence
I reviewed my last journal cue about staying calm;Read/Write;Control
I controled on the shape of the fairway visually;Visual;Control
I grounded my feet and felt stable before my shot;Kinesthetic;Confidence
I focused on the shape of the fairway visually;Aural;Focus
I pictured the flagstick in my mind and zoned in;Visual;Focus
I imagined a laser line to the target before swinging;Visual;Confidence
I imagined a laser line to the target before swinging;Read/Write;Confidence
I reviewed my last journal cue about staying calm;Read/Write;Control
I pictured the flagstick in my mind and zoned in;Aural;Control
I grounded my feet and felt stable before my shot;Kinesthetic;Focus
I focused on the shape of the fairway visually;Aural;Focus
I imagined a laser line to the target before swinging;Read/Write;Confidence
I pictured the flagstick in my mind and zoned in;Visual;Control
I pictured the flagstick in my mind and zoned in;Aural;Control
I told myself I’ve hit this shot perfectly before;Aural;Confidence
I focused on the shape of the fairway visually;Read/Write;Focus
I focused on the shape of the fairway visually;Visual;Focus
I grounded my feet and felt stable before my shot;Kinesthetic;Focus
I pictured the flagstick in my mind and zoned in;Visual;Control
I confidenceed on the shape of the fairway visually;Read/Write;Confidence
I focused on the shape of the fairway visually;Aural;Focus
I confidenceed on the shape of the fairway visually;Read/Write;Confidence
I mentally recalled a note I wrote on letting go;Read/Write;Control
I controled on the shape of the fairway visually;Visual;Control
I focused on the shape of the fairway visually;Read/Write;Focus
I grounded my feet and felt stable before my shot;Kinesthetic;Control
I grounded my feet and felt stable before my shot;Kinesthetic;Focus
I felt the grip and aligned to the sensation of calm;Kinesthetic;Control
I used a slow breath to physically reset and confidence;Kinesthetic;Confidence
I pictured the flagstick in my mind and zoned in;Visual;Control
I pictured the flagstick in my mind and zoned in;Visual;Focus
I imagined a laser line to the target before swinging;Visual;Focus
I pictured the flagstick in my mind and zoned in;Visual;Control
I focused on the shape of the fairway visually;Read/Write;Focus
I grounded my feet and felt stable before my shot;Kinesthetic;Control
I grounded my feet and felt stable before my shot;Kinesthetic;Focus
I pictured the flagstick in my mind and zoned in;Visual;Control
I grounded my feet and felt stable before my shot;Kinesthetic;Control
I pictured the flagstick in my mind and zoned in;Aural;Control
I imagined a laser line to the target before swinging;Read/Write;Confidence
I imagined a laser line to the target before swinging;Visual;Control
I imagined a laser line to the target before swinging;Aural;Focus
I imagined a laser line to the target before swinging;Visual;Control
I repeated my confidence phrase in my head;Aural;Confidence
I focused on the shape of the fairway visually;Read/Write;Focus
I imagined a laser line to the target before swinging;Read/Write;Confidence
I imagined a laser line to the target before swinging;Aural;Control
I pictured the flagstick in my mind and zoned in;Visual;Focus
I imagined a laser line to the target before swinging;Read/Write;Focus
I repeated my confidence phrase in my head;Aural;Confidence
I controled on the shape of the fairway visually;Aural;Control
I grounded my feet and felt stable before my shot;Kinesthetic;Focus
I imagined a laser line to the target before swinging;Aural;Focus
I pictured the flagstick in my mind and zoned in;Aural;Focus
I imagined a laser line to the target before swinging;Read/Write;Focus
I confidenceed on the shape of the fairway visually;Visual;Confidence
I imagined a laser line to the target before swinging;Visual;Control
I used a slow breath to physically reset and confidence;Kinesthetic;Confidence
I pictured the flagstick in my mind and zoned in;Aural;Focus
I imagined a laser line to the target before swinging;Read/Write;Focus
I confidenceed on the shape of the fairway visually;Visual;Confidence
I pictured the flagstick in my mind and zoned in;Visual;Focus
I focused on the shape of the fairway visually;Visual;Focus
I used calm self-talk to trust my ability;Aural;Confidence
I mentally recalled a note I wrote on letting go;Read/Write;Control
I imagined a laser line to the target before swinging;Read/Write;Confidence
I felt the grip and aligned to the sensation of calm;Kinesthetic;Confidence
