Phrase;VARK;Pillar
I wasn't fully in it, but I managed to keep my cool;Visual;Control
Wasn’t super confident, but I tried to stay composed;Aural;Focus
I wasn't fully in it, but I managed to keep my cool;Read/Write;Control
Not my sharpest day, but I kept working through it;Visual;Focus
Wasn’t super confident, but I tried to stay composed;Read/Write;Confidence
Not my sharpest day, but I kept working through it;Read/Write;Confidence
Didn’t get upset, just stayed with it;Visual;Confidence
I talked myself out of spiraling a few times;Visual;Control
Tried to breathe and let it ride even though I felt off;Visual;Confidence
Tried to breathe and let it ride even though I felt off;Read/Write;Focus
I was kind of zoning out but still holding it together;Visual;Control
Wasn’t super confident, but I tried to stay composed;Aural;Control
I talked myself out of spiraling a few times;Read/Write;Control
Tried to breathe and let it ride even though I felt off;Read/Write;Confidence
I was kind of zoning out but still holding it together;Read/Write;Confidence
Tried to breathe and let it ride even though I felt off;Visual;Control
I wasn't fully in it, but I managed to keep my cool;Kinesthetic;Confidence
I talked myself out of spiraling a few times;Aural;Confidence
I wasn't fully in it, but I managed to keep my cool;Aural;Focus
Tried to breathe and let it ride even though I felt off;Visual;Focus
Kept telling myself it’s fine even if it didn’t feel great;Kinesthetic;Focus
Kept telling myself it’s fine even if it didn’t feel great;Visual;Focus
My tempo was weird, but I didn’t panic;Kinesthetic;Focus
I wasn't fully in it, but I managed to keep my cool;Kinesthetic;Control
I was kind of zoning out but still holding it together;Aural;Focus
Not my sharpest day, but I kept working through it;Read/Write;Confidence
Not my sharpest day, but I kept working through it;Visual;Focus
I wasn't fully in it, but I managed to keep my cool;Kinesthetic;Focus
I wasn't fully in it, but I managed to keep my cool;Read/Write;Control
Not my sharpest day, but I kept working through it;Read/Write;Focus
I talked myself out of spiraling a few times;Visual;Confidence
Not my sharpest day, but I kept working through it;Read/Write;Focus
Wasn’t super confident, but I tried to stay composed;Visual;Control
My tempo was weird, but I didn’t panic;Kinesthetic;Control
I talked myself out of spiraling a few times;Kinesthetic;Control
My tempo was weird, but I didn’t panic;Kinesthetic;Control
I talked myself out of spiraling a few times;Kinesthetic;Focus
Kept telling myself it’s fine even if it didn’t feel great;Read/Write;Control
I wasn't fully in it, but I managed to keep my cool;Kinesthetic;Confidence
I wasn't fully in it, but I managed to keep my cool;Visual;Confidence
Wasn’t super confident, but I tried to stay composed;Read/Write;Focus
Not my sharpest day, but I kept working through it;Aural;Confidence
My tempo was weird, but I didn’t panic;Kinesthetic;Focus
Not my sharpest day, but I kept working through it;Visual;Confidence
Tried to breathe and let it ride even though I felt off;Kinesthetic;Confidence
I talked myself out of spiraling a few times;Aural;Control
I was kind of zoning out but still holding it together;Aural;Focus
Tried to breathe and let it ride even though I felt off;Read/Write;Control
My tempo was weird, but I didn’t panic;Visual;Confidence
I was kind of zoning out but still holding it together;Kinesthetic;Confidence
I wasn't fully in it, but I managed to keep my cool;Read/Write;Confidence
I was kind of zoning out but still holding it together;Read/Write;Focus
I talked myself out of spiraling a few times;Visual;Confidence
Didn't quite feel dialed in but made it through;Kinesthetic;Focus
Didn’t get upset, just stayed with it;Kinesthetic;Focus
Not my sharpest day, but I kept working through it;Aural;Control
Wasn’t super confident, but I tried to stay composed;Kinesthetic;Control
I wasn't fully in it, but I managed to keep my cool;Visual;Control
Didn’t get upset, just stayed with it;Aural;Focus
Wasn’t super confident, but I tried to stay composed;Read/Write;Confidence
I talked myself out of spiraling a few times;Read/Write;Focus
Didn’t get upset, just stayed with it;Aural;Focus
Wasn’t super confident, but I tried to stay composed;Aural;Control
I was kind of zoning out but still holding it together;Read/Write;Confidence
Didn't quite feel dialed in but made it through;Kinesthetic;Control
Didn’t get upset, just stayed with it;Kinesthetic;Confidence
My tempo was weird, but I didn’t panic;Kinesthetic;Confidence
My tempo was weird, but I didn’t panic;Read/Write;Focus
Not my sharpest day, but I kept working through it;Visual;Control
I wasn't fully in it, but I managed to keep my cool;Visual;Focus
I was kind of zoning out but still holding it together;Read/Write;Focus
Not my sharpest day, but I kept working through it;Kinesthetic;Confidence
Tried to breathe and let it ride even though I felt off;Read/Write;Control
Didn’t get upset, just stayed with it;Aural;Focus
Not my sharpest day, but I kept working through it;Read/Write;Focus
I was kind of zoning out but still holding it together;Aural;Focus
I was kind of zoning out but still holding it together;Aural;Control
Didn’t get upset, just stayed with it;Aural;Control
I was kind of zoning out but still holding it together;Aural;Control
I talked myself out of spiraling a few times;Aural;Control
I talked myself out of spiraling a few times;Visual;Control
I wasn't fully in it, but I managed to keep my cool;Read/Write;Control
I was kind of zoning out but still holding it together;Aural;Focus
Didn’t get upset, just stayed with it;Kinesthetic;Confidence
I was kind of zoning out but still holding it together;Visual;Confidence
