User Phrase;VARK Style;Pillar;Mood
I actually crushed it this time!;Aural;Confidence;excited
Hey coach, was that reset okay?;Read/Write;Control;shy
I kinda zoned out mid-round 😶;Read/Write;Focus;shy
Wait, so was I supposed to breathe there?;Kinesthetic;Control;shy
Whoa, I just aced my focus drill!;Visual;Confidence;bored
Hey coach, was that reset okay?;Aural;Control;pumped
Not feelin' my routine today 😕;Visual;Control;confused
Ugh, total brain fog on that hole...;Kinesthetic;Focus;pumped
Whoa, I just aced my focus drill!;Read/Write;Control;pumped
Wait, so was I supposed to breathe there?;Kinesthetic;Focus;confused
Whoa, I just aced my focus drill!;Aural;Focus;confused
Pretty sure my confidence just leveled up 🔥;Kinesthetic;Focus;excited
Does this count as visualization?;Aural;Focus;bored
Not feelin' my routine today 😕;Read/Write;Control;shy
Pretty sure my confidence just leveled up 🔥;Kinesthetic;Focus;shy
I kinda zoned out mid-round 😶;Visual;Confidence;confused
Pretty sure my confidence just leveled up 🔥;Kinesthetic;Confidence;confused
Wait, so was I supposed to breathe there?;Kinesthetic;Confidence;bored
Pretty sure my confidence just leveled up 🔥;Read/Write;Focus;pumped
Can I get a redo on that swing?;Visual;Confidence;bored
I kinda zoned out mid-round 😶;Kinesthetic;Confidence;pumped
Ugh, total brain fog on that hole...;Kinesthetic;Focus;shy
Does this count as visualization?;Visual;Control;confused
Ugh, total brain fog on that hole...;Visual;Control;shy
I actually crushed it this time!;Aural;Focus;bored
Pretty sure my confidence just leveled up 🔥;Visual;Focus;bored
Pretty sure my confidence just leveled up 🔥;Kinesthetic;Confidence;pumped
Pretty sure my confidence just leveled up 🔥;Read/Write;Control;bored
I kinda zoned out mid-round 😶;Aural;Confidence;excited
Whoa, I just aced my focus drill!;Aural;Focus;excited
Whoa, I just aced my focus drill!;Visual;Control;shy
Not feelin' my routine today 😕;Kinesthetic;Confidence;pumped
Not feelin' my routine today 😕;Kinesthetic;Confidence;pumped
Wait, so was I supposed to breathe there?;Visual;Confidence;excited
Whoa, I just aced my focus drill!;Aural;Focus;shy
Can I get a redo on that swing?;Kinesthetic;Focus;shy
Pretty sure my confidence just leveled up 🔥;Kinesthetic;Control;pumped
Hey coach, was that reset okay?;Visual;Focus;excited
Pretty sure my confidence just leveled up 🔥;Kinesthetic;Control;shy
Ugh, total brain fog on that hole...;Kinesthetic;Confidence;bored
I kinda zoned out mid-round 😶;Read/Write;Control;bored
Whoa, I just aced my focus drill!;Visual;Control;bored
Not feelin' my routine today 😕;Read/Write;Confidence;shy
Does this count as visualization?;Read/Write;Control;excited
Ugh, total brain fog on that hole...;Visual;Focus;confused
I actually crushed it this time!;Visual;Control;shy
Does this count as visualization?;Visual;Confidence;shy
Ugh, total brain fog on that hole...;Read/Write;Control;confused
Ugh, total brain fog on that hole...;Read/Write;Control;confused
I kinda zoned out mid-round 😶;Visual;Control;confused
Can I get a redo on that swing?;Read/Write;Control;excited
Does this count as visualization?;Aural;Confidence;pumped
Not feelin' my routine today 😕;Kinesthetic;Confidence;bored
Does this count as visualization?;Visual;Confidence;pumped
Hey coach, was that reset okay?;Visual;Control;excited
Hey coach, was that reset okay?;Aural;Confidence;pumped
Does this count as visualization?;Kinesthetic;Focus;excited
Wait, so was I supposed to breathe there?;Aural;Focus;confused
Ugh, total brain fog on that hole...;Aural;Confidence;shy
Does this count as visualization?;Read/Write;Control;shy
Does this count as visualization?;Read/Write;Confidence;excited
I kinda zoned out mid-round 😶;Visual;Control;excited
I kinda zoned out mid-round 😶;Aural;Confidence;excited
Does this count as visualization?;Kinesthetic;Control;shy
Does this count as visualization?;Kinesthetic;Confidence;bored
Pretty sure my confidence just leveled up 🔥;Kinesthetic;Focus;confused
Does this count as visualization?;Visual;Focus;confused
Pretty sure my confidence just leveled up 🔥;Aural;Control;bored
Not feelin' my routine today 😕;Kinesthetic;Confidence;bored
Ugh, total brain fog on that hole...;Read/Write;Confidence;pumped
Whoa, I just aced my focus drill!;Aural;Confidence;excited
I kinda zoned out mid-round 😶;Aural;Confidence;pumped
Not feelin' my routine today 😕;Aural;Focus;pumped
Does this count as visualization?;Read/Write;Focus;shy
Not feelin' my routine today 😕;Read/Write;Focus;excited
Can I get a redo on that swing?;Read/Write;Focus;bored
Whoa, I just aced my focus drill!;Aural;Control;excited
Wait, so was I supposed to breathe there?;Kinesthetic;Control;shy
I kinda zoned out mid-round 😶;Kinesthetic;Control;bored
Hey coach, was that reset okay?;Aural;Focus;bored
Can I get a redo on that swing?;Kinesthetic;Confidence;confused
Does this count as visualization?;Aural;Control;bored
Whoa, I just aced my focus drill!;Aural;Confidence;excited
Can I get a redo on that swing?;Aural;Control;confused
Does this count as visualization?;Kinesthetic;Focus;excited
I kinda zoned out mid-round 😶;Kinesthetic;Control;bored
Ugh, total brain fog on that hole...;Visual;Focus;confused
Not feelin' my routine today 😕;Read/Write;Focus;pumped
I kinda zoned out mid-round 😶;Kinesthetic;Focus;bored
Hey coach, was that reset okay?;Visual;Control;excited
Hey coach, was that reset okay?;Read/Write;Control;shy
Ugh, total brain fog on that hole...;Visual;Focus;pumped
Whoa, I just aced my focus drill!;Aural;Confidence;confused
Does this count as visualization?;Aural;Confidence;bored
Ugh, total brain fog on that hole...;Aural;Confidence;pumped
I actually crushed it this time!;Aural;Focus;confused
Pretty sure my confidence just leveled up 🔥;Visual;Focus;excited
Hey coach, was that reset okay?;Kinesthetic;Focus;bored
Whoa, I just aced my focus drill!;Read/Write;Control;excited
Whoa, I just aced my focus drill!;Kinesthetic;Confidence;confused
Pretty sure my confidence just leveled up 🔥;Kinesthetic;Control;excited
Does this count as visualization?;Aural;Focus;shy
Does this count as visualization?;Read/Write;Confidence;excited
Does this count as visualization?;Kinesthetic;Confidence;shy
Ugh, total brain fog on that hole...;Aural;Focus;excited
Ugh, total brain fog on that hole...;Visual;Control;bored
Does this count as visualization?;Aural;Confidence;confused
Can I get a redo on that swing?;Read/Write;Focus;shy
Hey coach, was that reset okay?;Visual;Confidence;pumped
Hey coach, was that reset okay?;Read/Write;Focus;excited
Hey coach, was that reset okay?;Kinesthetic;Focus;pumped
Whoa, I just aced my focus drill!;Kinesthetic;Confidence;bored
I actually crushed it this time!;Read/Write;Confidence;bored
I actually crushed it this time!;Read/Write;Confidence;excited
Can I get a redo on that swing?;Kinesthetic;Focus;confused
Hey coach, was that reset okay?;Read/Write;Confidence;shy
I kinda zoned out mid-round 😶;Aural;Confidence;pumped
Does this count as visualization?;Visual;Focus;shy
Pretty sure my confidence just leveled up 🔥;Read/Write;Confidence;excited
Does this count as visualization?;Visual;Confidence;excited
I actually crushed it this time!;Kinesthetic;Focus;excited
Does this count as visualization?;Visual;Control;confused
I kinda zoned out mid-round 😶;Visual;Focus;excited
I actually crushed it this time!;Aural;Control;confused
Does this count as visualization?;Kinesthetic;Focus;pumped
Hey coach, was that reset okay?;Aural;Confidence;shy
I actually crushed it this time!;Kinesthetic;Confidence;pumped
Does this count as visualization?;Aural;Control;confused
Ugh, total brain fog on that hole...;Read/Write;Focus;pumped
Whoa, I just aced my focus drill!;Visual;Confidence;confused
I kinda zoned out mid-round 😶;Read/Write;Focus;bored
Can I get a redo on that swing?;Read/Write;Control;bored
Not feelin' my routine today 😕;Read/Write;Control;excited
Ugh, total brain fog on that hole...;Visual;Control;shy
I kinda zoned out mid-round 😶;Read/Write;Focus;excited
Can I get a redo on that swing?;Aural;Confidence;bored
Not feelin' my routine today 😕;Visual;Confidence;shy
I kinda zoned out mid-round 😶;Read/Write;Confidence;pumped
I actually crushed it this time!;Visual;Focus;pumped
Pretty sure my confidence just leveled up 🔥;Visual;Focus;confused
Pretty sure my confidence just leveled up 🔥;Aural;Focus;confused
Not feelin' my routine today 😕;Read/Write;Focus;excited
I kinda zoned out mid-round 😶;Visual;Control;pumped
Pretty sure my confidence just leveled up 🔥;Visual;Control;pumped
I kinda zoned out mid-round 😶;Read/Write;Confidence;pumped
Does this count as visualization?;Aural;Focus;excited
Whoa, I just aced my focus drill!;Aural;Control;excited
I kinda zoned out mid-round 😶;Kinesthetic;Control;bored
Whoa, I just aced my focus drill!;Kinesthetic;Confidence;bored
Wait, so was I supposed to breathe there?;Aural;Control;shy
Whoa, I just aced my focus drill!;Visual;Control;pumped
I kinda zoned out mid-round 😶;Read/Write;Confidence;excited
Does this count as visualization?;Aural;Focus;shy
I kinda zoned out mid-round 😶;Read/Write;Control;excited
Ugh, total brain fog on that hole...;Aural;Confidence;confused
Hey coach, was that reset okay?;Visual;Control;pumped
I actually crushed it this time!;Visual;Focus;confused
Ugh, total brain fog on that hole...;Visual;Confidence;confused
I actually crushed it this time!;Aural;Control;bored
Hey coach, was that reset okay?;Kinesthetic;Focus;excited
I actually crushed it this time!;Visual;Confidence;bored
Whoa, I just aced my focus drill!;Kinesthetic;Confidence;bored
Not feelin' my routine today 😕;Read/Write;Control;pumped
I kinda zoned out mid-round 😶;Read/Write;Confidence;confused
Ugh, total brain fog on that hole...;Read/Write;Control;shy
Can I get a redo on that swing?;Kinesthetic;Focus;shy
