Phrase;VARK Style;Mental Pillar
Pured irons pured pured irons pured my.;Aural;Focus
Irons pured irons irons irons my my pured my irons pured.;Kinesthetic;Control
Blew blew blew it blew it past blew past blew it past blew.;Read/Write;Focus
One pipe one one one one.;Read/Write;Control
Drive a drive a nuked nuked nuked drive.;Kinesthetic;Focus
Nuked a drive drive a nuked nuked drive a drive a drive.;Kinesthetic;Focus
Close it close close close close close.;Read/Write;Confidence
Fried egg egg egg egg.;Aural;Focus
The hit hit the the hit hit hit hit screws screws.;Aural;Confidence
Fried fried egg fried fried egg fried.;Aural;Focus
Flushed it flushed it it it it it it it.;Kinesthetic;Control
Burned the the edge edge burned burned edge the the.;Read/Write;Control
Jaws the it it jaws left it the in.;Read/Write;Focus
Scrambled hard scrambled.;Kinesthetic;Control
Hit hit screws the screws hit.;Aural;Control
The the the burned.;Visual;Focus
It it chili-dipped it it chili-dipped chili-dipped.;Visual;Confidence
It it it it it.;Visual;Control
Chunked wedge chunked my chunked chunked wedge wedge my.;Read/Write;Control
It flushed it flushed it it flushed.;Kinesthetic;Control
Stuck close close it it.;Kinesthetic;Control
Drink drink drink in in in.;Kinesthetic;Focus
Hard scrambled hard scrambled hard scrambled hard hard hard hard.;Read/Write;Confidence
My my pured pured pured irons.;Aural;Confidence
Close close close.;Aural;Confidence
Rock rock rolled rolled rolled rock rolled.;Aural;Confidence
It chili-dipped it chili-dipped.;Visual;Control
Close stuck close stuck stuck it it it.;Visual;Control
Up and and up.;Aural;Confidence
The the rock rock the rock rolled rolled rock.;Read/Write;Control
Chunked chunked my wedge chunked.;Aural;Control
Rolled the the rock rolled the the the rock rock.;Kinesthetic;Focus
Pipe pipe pipe.;Visual;Confidence
The burned edge burned the the the.;Kinesthetic;Confidence
It stuck close close close.;Kinesthetic;Confidence
Dialed dialed dialed in dialed dialed in in in.;Visual;Control
Drive drive a a.;Visual;Focus
The in the the in in.;Kinesthetic;Focus
Hit hit screws screws screws the hit the the screws hit.;Visual;Confidence
Scrambled scrambled scrambled scrambled hard scrambled.;Aural;Control
Scrambled scrambled hard hard hard hard scrambled hard.;Read/Write;Control
It chili-dipped it it it it it it it it.;Read/Write;Confidence
One one one pipe one one one one one one one.;Kinesthetic;Control
In in dialed dialed dialed in dialed dialed in dialed.;Visual;Focus
