User Phrase (Incomplete);System Prompt (Clarification);User Response (Correction);Final Log Intent
Landed in the bunker.;Could you clarify which hole that happened on?;I was distracted.;ShotLog.Technical.Lie.OB
The wind affected that one.;Was that your first shot on the hole?;It was on hole 5.;ShotLog.Mental.Mindset.Distracted
The wind affected that one.;What was your mindset at the time?;Yes, count it as a penalty.;ShotLog.Technical.MissCause.Routine
The wind affected that one.;Was that your first shot on the hole?;That was off the tee.;ShotMap.Track.Enabled
Hit a great shot.;What was your mindset at the time?;Lie was clean.;Log.Score.Bogey
Lost my ball near the trees.;What was your mindset at the time?;I rushed my routine.;ShotMap.Track.Enabled
Hit a great shot.;Could you clarify which hole that happened on?;That was off the tee.;ShotLog.Technical.MissCause.Routine
I hit a draw into the green.;Was that your first shot on the hole?;Yes, count it as a penalty.;Log.Hole.5
Landed in the bunker.;Do you want to log that as a penalty?;Yes, include it in ShotMap.;ShotMap.Track.Enabled
I hit a draw into the green.;Was the lie clean or difficult?;Lie was clean.;ShotLog.Technical.Lie.Bunker
Landed in the bunker.;Do you want to log that as a penalty?;I rushed my routine.;Log.Hole.5
I think it was a 6 iron.;What club did you use for that shot?;I was distracted.;ShotLog.Technical.Lie.OB
I think it was a 6 iron.;Do you remember what triggered the miss?;Lie was clean.;ShotLog.Technical.MissCause.Routine
Lost my ball near the trees.;Do you remember what triggered the miss?;Lie was clean.;Log.Score.Bogey
The wind affected that one.;What was your mindset at the time?;Yes, it was the first shot.;ShotLog.Mental.Mindset.Distracted
Made par.;Could you clarify which hole that happened on?;Yes, count it as a penalty.;ShotLog.Technical.Club.6Iron
The wind affected that one.;Was that a tee shot or approach?;Yes, include it in ShotMap.;Log.Score.Bogey
I hit a draw into the green.;What was your mindset at the time?;It was on hole 5.;ShotLog.Technical.Club.6Iron
Just missed the putt.;What club did you use for that shot?;Lie was clean.;ShotLog.Technical.Lie.Bunker
Made par.;What was your mindset at the time?;Yes, count it as a penalty.;ShotLog.Technical.Lie.OB
Landed in the bunker.;Was the lie clean or difficult?;Yes, include it in ShotMap.;Log.Score.Bogey
I think it was a 6 iron.;Was that your first shot on the hole?;That was off the tee.;ShotLog.Technical.Club.6Iron
The wind affected that one.;Was that your first shot on the hole?;It was around 150 yards.;ShotMap.Track.Enabled
Just missed the putt.;Do you remember what triggered the miss?;I was distracted.;ShotMap.Track.Enabled
I think it was a 6 iron.;Could you clarify which hole that happened on?;I used a 6 iron.;Log.Penalty
Made par.;What was your mindset at the time?;Yes, it was the first shot.;ShotLog.Technical.MissCause.Routine
Hit a great shot.;Was the lie clean or difficult?;It was on hole 5.;ShotLog.Technical.MissCause.Routine
Made par.;What was your mindset at the time?;Yes, count it as a penalty.;Log.Hole.5
I hit a draw into the green.;Would you like to track this in ShotMap?;That was off the tee.;Log.Score.Bogey
