Section;Phrase;Intent;Tags;Notes
Section 8: Microphone (General Voice UX + Help);Stop voice mode coach;Mic.Stop;;
Section 8: Microphone (General Voice UX + Help);Speak instead of tap please;Mic.Start;;UI shortcut
Section 8: Microphone (General Voice UX + Help);Repeat what I said before I forget;Mic.Confirm;;Playback
Section 8: Microphone (General Voice UX + Help);Let’s use the mic thanks;Mic.Start;;
Section 8: Microphone (General Voice UX + Help);Was that logged? now;Mic.Confirm;;
Section 8: Microphone (General Voice UX + Help);Tell me what voice can do, alright;Mic.Help;;Education
Section 8: Microphone (General Voice UX + Help);Let’s use the mic quick log;Mic.Start;;
Section 8: Microphone (General Voice UX + Help);Tell me what voice can do again;Mic.Help;;Education
Section 8: Microphone (General Voice UX + Help);Let’s use the mic quick log;Mic.Start;;
Section 8: Microphone (General Voice UX + Help);Speak instead of tap, buddy;Mic.Start;;UI shortcut
Section 8: Microphone (General Voice UX + Help);Was that logged?, okay?;Mic.Confirm;;
Section 8: Microphone (General Voice UX + Help);Is voice active right now? today;Mic.Query;;
Section 8: Microphone (General Voice UX + Help);Speak instead of tap now;Mic.Start;;UI shortcut
Section 8: Microphone (General Voice UX + Help);What phrases work for this? please;Mic.Help;;
Section 8: Microphone (General Voice UX + Help);Voice mode on today;Mic.Start;;Toggle
Section 8: Microphone (General Voice UX + Help);Repeat what I said real quick;Mic.Confirm;;Playback
Section 8: Microphone (General Voice UX + Help);Speak instead of tap, alright;Mic.Start;;UI shortcut
Section 8: Microphone (General Voice UX + Help);Voice off.;Mic.Stop;;
Section 8: Microphone (General Voice UX + Help);Start voice entry before I forget;Mic.Start;;UI trigger
Section 8: Microphone (General Voice UX + Help);Is voice active right now? coach;Mic.Query;;
Section 8: Microphone (General Voice UX + Help);Is voice active right now? please;Mic.Query;;
Section 8: Microphone (General Voice UX + Help);Is voice active right now? today;Mic.Query;;
Section 8: Microphone (General Voice UX + Help);What phrases work for this? please;Mic.Help;;
Section 8: Microphone (General Voice UX + Help);Did that work? please;Mic.Confirm;;Asking system
Section 8: Microphone (General Voice UX + Help);Can I use voice to log performance?, buddy;Mic.Query;;Contextual
Section 8: Microphone (General Voice UX + Help);Can I use voice to log performance? coach;Mic.Query;;Contextual
Section 8: Microphone (General Voice UX + Help);What phrases work for this?.;Mic.Help;;
Section 8: Microphone (General Voice UX + Help);Did that work? if possible;Mic.Confirm;;Asking system
