Section;Phrase;Intent;Tags;Notes
Error Handling;So, Sorry, I didn’t catch that if possible;Error.Recognition;;Voice not understood
Error Handling;Right, Sorry, I didn’t catch that I think;Error.Recognition;;Voice not understood
Error Handling;Right, Sorry, I didn’t catch that not sure;Error.Recognition;;Voice not understood
Error Handling;Right, Sorry, I didn’t catch that;Error.Recognition;;Voice not understood
Error Handling;Okay, Sorry, I didn’t catch that for that one;Error.Recognition;;Voice not understood
Error Handling;Sorry, I didn’t catch that please;Error.Recognition;;Voice not understood
Error Handling;Hey, Sorry, I didn’t catch that again;Error.Recognition;;Voice not understood
Error Handling;Uhm, Sorry, I didn’t catch that if possible;Error.Recognition;;Voice not understood
Error Handling;Right, Sorry, I didn’t catch that now;Error.Recognition;;Voice not understood
Error Handling;Okay, Sorry, I didn’t catch that now;Error.Recognition;;Voice not understood
Error Handling;So, Sorry, I didn’t catch that now;Error.Recognition;;Voice not understood
Error Handling;Sorry, Sorry, I didn’t catch that if possible;Error.Recognition;;Voice not understood
Error Handling;Okay, Sorry, I didn’t catch that I think;Error.Recognition;;Voice not understood
Error Handling;Sorry, Sorry, I didn’t catch that just now;Error.Recognition;;Voice not understood
Error Handling;Right, Sorry, I didn’t catch that if possible;Error.Recognition;;Voice not understood
Error Handling;So, Sorry, I didn’t catch that if possible;Error.Recognition;;Voice not understood
Error Handling;Sorry, Sorry, I didn’t catch that I think;Error.Recognition;;Voice not understood
Error Handling;Uhm, Sorry, I didn’t catch that I think;Error.Recognition;;Voice not understood
Error Handling;So, Sorry, I didn’t catch that for that one;Error.Recognition;;Voice not understood
Error Handling;Sorry, Sorry, I didn’t catch that for that one;Error.Recognition;;Voice not understood
Error Handling;Sorry, Sorry, I didn’t catch that now;Error.Recognition;;Voice not understood
Error Handling;Sorry, I didn’t catch that for that one;Error.Recognition;;Voice not understood
Error Handling;So, Sorry, I didn’t catch that I think;Error.Recognition;;Voice not understood
Error Handling;Right, Sorry, I didn’t catch that just now;Error.Recognition;;Voice not understood
Error Handling;Hmm, Sorry, I didn’t catch that just now;Error.Recognition;;Voice not understood
Error Handling;So, Sorry, I didn’t catch that please;Error.Recognition;;Voice not understood
Error Handling;Okay, Sorry, I didn’t catch that if possible;Error.Recognition;;Voice not understood
Error Handling;Hmm, Sorry, I didn’t catch that not sure;Error.Recognition;;Voice not understood
Error Handling;Uhm, Sorry, I didn’t catch that just now;Error.Recognition;;Voice not understood
Error Handling;Right, Sorry, I didn’t catch that just now;Error.Recognition;;Voice not understood
Error Handling;So, Sorry, I didn’t catch that for that one;Error.Recognition;;Voice not understood
Error Handling;Sorry, I didn’t catch that again;Error.Recognition;;Voice not understood
Error Handling;Hmm, Sorry, I didn’t catch that now;Error.Recognition;;Voice not understood
Error Handling;So, Sorry, I didn’t catch that please;Error.Recognition;;Voice not understood
Error Handling;Hey, Sorry, I didn’t catch that again;Error.Recognition;;Voice not understood
Error Handling;Hmm, Sorry, I didn’t catch that I think;Error.Recognition;;Voice not understood
Error Handling;Hmm, Sorry, I didn’t catch that if possible;Error.Recognition;;Voice not understood
Error Handling;Uhm, Sorry, I didn’t catch that I think;Error.Recognition;;Voice not understood
Error Handling;Sorry, I didn’t catch that please;Error.Recognition;;Voice not understood
Error Handling;Well, Sorry, I didn’t catch that again;Error.Recognition;;Voice not understood
Error Handling;Okay, Sorry, I didn’t catch that just now;Error.Recognition;;Voice not understood
Error Handling;Wait, Sorry, I didn’t catch that I think;Error.Recognition;;Voice not understood
Error Handling;Well, Sorry, I didn’t catch that not sure;Error.Recognition;;Voice not understood
Error Handling;Sorry, I didn’t catch that I think;Error.Recognition;;Voice not understood
Error Handling;Uhm, Sorry, I didn’t catch that not sure;Error.Recognition;;Voice not understood
Error Handling;Sorry, I didn’t catch that again;Error.Recognition;;Voice not understood
Error Handling;Right, Sorry, I didn’t catch that please;Error.Recognition;;Voice not understood
Error Handling;Sorry, I didn’t catch that again;Error.Recognition;;Voice not understood
Error Handling;Sorry, Sorry, I didn’t catch that now;Error.Recognition;;Voice not understood
Error Handling;Okay, Sorry, I didn’t catch that if possible;Error.Recognition;;Voice not understood
Error Handling;Right, Sorry, I didn’t catch that again;Error.Recognition;;Voice not understood
Error Handling;Sorry, I didn’t catch that I think;Error.Recognition;;Voice not understood
Error Handling;Hey, Sorry, I didn’t catch that please;Error.Recognition;;Voice not understood
Error Handling;Wait, Sorry, I didn’t catch that please;Error.Recognition;;Voice not understood
Error Handling;Sorry, Sorry, I didn’t catch that not sure;Error.Recognition;;Voice not understood
Error Handling;Uhm, Sorry, I didn’t catch that just now;Error.Recognition;;Voice not understood
Error Handling;Sorry, Sorry, I didn’t catch that;Error.Recognition;;Voice not understood
Error Handling;Right, Sorry, I didn’t catch that if possible;Error.Recognition;;Voice not understood
Error Handling;Wait, Sorry, I didn’t catch that if possible;Error.Recognition;;Voice not understood
Error Handling;Hmm, Sorry, I didn’t catch that if possible;Error.Recognition;;Voice not understood
Error Handling;Wait, Sorry, I didn’t catch that now;Error.Recognition;;Voice not understood
Error Handling;Hmm, Sorry, I didn’t catch that again;Error.Recognition;;Voice not understood
Error Handling;Hey, Sorry, I didn’t catch that now;Error.Recognition;;Voice not understood
Error Handling;Hey, Sorry, I didn’t catch that if possible;Error.Recognition;;Voice not understood
Error Handling;Sorry, I didn’t catch that I think;Error.Recognition;;Voice not understood
Error Handling;Sorry, Sorry, I didn’t catch that if possible;Error.Recognition;;Voice not understood
Error Handling;Wait, Sorry, I didn’t catch that if possible;Error.Recognition;;Voice not understood
Error Handling;Hmm, Sorry, I didn’t catch that please;Error.Recognition;;Voice not understood
Error Handling;Right, Sorry, I didn’t catch that for that one;Error.Recognition;;Voice not understood
Error Handling;Sorry, Sorry, I didn’t catch that not sure;Error.Recognition;;Voice not understood
Error Handling;Wait, Sorry, I didn’t catch that just now;Error.Recognition;;Voice not understood
Error Handling;Sorry, Sorry, I didn’t catch that again;Error.Recognition;;Voice not understood
Error Handling;Sorry, Sorry, I didn’t catch that please;Error.Recognition;;Voice not understood
Error Handling;Wait, Sorry, I didn’t catch that I think;Error.Recognition;;Voice not understood
Error Handling;Wait, Sorry, I didn’t catch that if possible;Error.Recognition;;Voice not understood
Error Handling;Sorry, Sorry, I didn’t catch that I think;Error.Recognition;;Voice not understood
Error Handling;Uhm, Sorry, I didn’t catch that if possible;Error.Recognition;;Voice not understood
Error Handling;Okay, Sorry, I didn’t catch that not sure;Error.Recognition;;Voice not understood
Error Handling;Uhm, Sorry, I didn’t catch that now;Error.Recognition;;Voice not understood
Error Handling;Uhm, Sorry, I didn’t catch that;Error.Recognition;;Voice not understood
Error Handling;Hey, Sorry, I didn’t catch that not sure;Error.Recognition;;Voice not understood
Error Handling;Wait, Sorry, I didn’t catch that I think;Error.Recognition;;Voice not understood
Error Handling;Hey, Sorry, I didn’t catch that not sure;Error.Recognition;;Voice not understood
Error Handling;Well, Sorry, I didn’t catch that;Error.Recognition;;Voice not understood
Error Handling;Uhm, Sorry, I didn’t catch that;Error.Recognition;;Voice not understood
Error Handling;Sorry, Sorry, I didn’t catch that please;Error.Recognition;;Voice not understood
Error Handling;So, Sorry, I didn’t catch that;Error.Recognition;;Voice not understood
Error Handling;Uhm, Sorry, I didn’t catch that;Error.Recognition;;Voice not understood
Error Handling;Hmm, Sorry, I didn’t catch that again;Error.Recognition;;Voice not understood
Error Handling;Sorry, Sorry, I didn’t catch that for that one;Error.Recognition;;Voice not understood
