Section;Phrase;Intent;Tags;Notes
Junior Zone Extras;How do I log my round? (0);Voice.Entry.Help;;
Junior Zone Extras;Can I use voice to track shots? (0);Voice.Entry.Help;;
Junior Zone Extras;What’s the best way to log my mindset? (0);Voice.Entry.Help;;
Junior Zone Extras;Do I have to speak everything? (0);Voice.Entry.Help;;
Junior Zone Extras;Can I check what I just logged? (0);Voice.Entry.Help;;
Junior Zone Extras;Why can’t I use the AI coach? (0);System.Rule.Explain;;
Junior Zone Extras;Why is the microphone off for me? (0);System.Rule.Explain;;
Junior Zone Extras;How old do I have to be to use all features? (0);System.Rule.Explain;;
Junior Zone Extras;What can juniors do in the app? (0);System.Rule.Explain;;
Junior Zone Extras;You’re doing great — keep logging! (0);System.Encourage.Use;;
Junior Zone Extras;Nice work today — every entry helps! (0);System.Encourage.Use;;
Junior Zone Extras;Consistency builds confidence — keep going! (0);System.Encourage.Use;;
Junior Zone Extras;Want to review your last round? (0);System.Encourage.Use;;
Junior Zone Extras;Try a post-shot journal next time you play.;System.Encourage.Use;;
Junior Zone Extras;Earned a badge for logging 5 rounds! (0);Junior.Gamify.Encourage;;
Junior Zone Extras;You just unlocked a new mindset tip.;Junior.Gamify.Encourage;;
Junior Zone Extras;Level up! (0) Keep logging your thoughts.;Junior.Gamify.Encourage;;
Junior Zone Extras;Sorry, you can’t access that feature yet.;Junior.Limit.Notice;;
Junior Zone Extras;That feature is for older users only.;Junior.Limit.Notice;;
Junior Zone Extras;You’ll unlock that when you’re older.;Junior.Limit.Notice;;
Junior Zone Extras;How do I log my round? (1);Voice.Entry.Help;;
Junior Zone Extras;Can I use voice to track shots? (1);Voice.Entry.Help;;
Junior Zone Extras;What’s the best way to log my mindset? (1);Voice.Entry.Help;;
Junior Zone Extras;Do I have to speak everything? (1);Voice.Entry.Help;;
Junior Zone Extras;Can I check what I just logged? (1);Voice.Entry.Help;;
Junior Zone Extras;Why can’t I use the AI coach? (1);System.Rule.Explain;;
Junior Zone Extras;Why is the microphone off for me? (1);System.Rule.Explain;;
Junior Zone Extras;How old do I have to be to use all features? (1);System.Rule.Explain;;
Junior Zone Extras;What can juniors do in the app? (1);System.Rule.Explain;;
Junior Zone Extras;You’re doing great — keep logging! (1);System.Encourage.Use;;
Junior Zone Extras;Nice work today — every entry helps! (1);System.Encourage.Use;;
Junior Zone Extras;Consistency builds confidence — keep going! (1);System.Encourage.Use;;
Junior Zone Extras;Want to review your last round? (1);System.Encourage.Use;;
Junior Zone Extras;Try a post-shot journal next time you play.;System.Encourage.Use;;
Junior Zone Extras;Earned a badge for logging 5 rounds! (1);Junior.Gamify.Encourage;;
Junior Zone Extras;You just unlocked a new mindset tip.;Junior.Gamify.Encourage;;
Junior Zone Extras;Level up! (1) Keep logging your thoughts.;Junior.Gamify.Encourage;;
Junior Zone Extras;Sorry, you can’t access that feature yet.;Junior.Limit.Notice;;
Junior Zone Extras;That feature is for older users only.;Junior.Limit.Notice;;
Junior Zone Extras;You’ll unlock that when you’re older.;Junior.Limit.Notice;;
Junior Zone Extras;How do I log my round? (2);Voice.Entry.Help;;
Junior Zone Extras;Can I use voice to track shots? (2);Voice.Entry.Help;;
Junior Zone Extras;What’s the best way to log my mindset? (2);Voice.Entry.Help;;
Junior Zone Extras;Do I have to speak everything? (2);Voice.Entry.Help;;
Junior Zone Extras;Can I check what I just logged? (2);Voice.Entry.Help;;
Junior Zone Extras;Why can’t I use the AI coach? (2);System.Rule.Explain;;
Junior Zone Extras;Why is the microphone off for me? (2);System.Rule.Explain;;
Junior Zone Extras;How old do I have to be to use all features? (2);System.Rule.Explain;;
Junior Zone Extras;What can juniors do in the app? (2);System.Rule.Explain;;
Junior Zone Extras;You’re doing great — keep logging! (2);System.Encourage.Use;;
Junior Zone Extras;Nice work today — every entry helps! (2);System.Encourage.Use;;
Junior Zone Extras;Consistency builds confidence — keep going! (2);System.Encourage.Use;;
Junior Zone Extras;Want to review your last round? (2);System.Encourage.Use;;
Junior Zone Extras;Try a post-shot journal next time you play.;System.Encourage.Use;;
Junior Zone Extras;Earned a badge for logging 5 rounds! (2);Junior.Gamify.Encourage;;
Junior Zone Extras;You just unlocked a new mindset tip.;Junior.Gamify.Encourage;;
Junior Zone Extras;Level up! (2) Keep logging your thoughts.;Junior.Gamify.Encourage;;
Junior Zone Extras;Sorry, you can’t access that feature yet.;Junior.Limit.Notice;;
Junior Zone Extras;That feature is for older users only.;Junior.Limit.Notice;;
Junior Zone Extras;You’ll unlock that when you’re older.;Junior.Limit.Notice;;
Junior Zone Extras;How do I log my round? (3);Voice.Entry.Help;;
Junior Zone Extras;Can I use voice to track shots? (3);Voice.Entry.Help;;
Junior Zone Extras;What’s the best way to log my mindset? (3);Voice.Entry.Help;;
Junior Zone Extras;Do I have to speak everything? (3);Voice.Entry.Help;;
Junior Zone Extras;Can I check what I just logged? (3);Voice.Entry.Help;;
Junior Zone Extras;Why can’t I use the AI coach? (3);System.Rule.Explain;;
Junior Zone Extras;Why is the microphone off for me? (3);System.Rule.Explain;;
Junior Zone Extras;How old do I have to be to use all features? (3);System.Rule.Explain;;
Junior Zone Extras;What can juniors do in the app? (3);System.Rule.Explain;;
Junior Zone Extras;You’re doing great — keep logging! (3);System.Encourage.Use;;
Junior Zone Extras;Nice work today — every entry helps! (3);System.Encourage.Use;;
Junior Zone Extras;Consistency builds confidence — keep going! (3);System.Encourage.Use;;
Junior Zone Extras;Want to review your last round? (3);System.Encourage.Use;;
Junior Zone Extras;Try a post-shot journal next time you play.;System.Encourage.Use;;
Junior Zone Extras;Earned a badge for logging 5 rounds! (3);Junior.Gamify.Encourage;;
Junior Zone Extras;You just unlocked a new mindset tip.;Junior.Gamify.Encourage;;
Junior Zone Extras;Level up! (3) Keep logging your thoughts.;Junior.Gamify.Encourage;;
Junior Zone Extras;Sorry, you can’t access that feature yet.;Junior.Limit.Notice;;
Junior Zone Extras;That feature is for older users only.;Junior.Limit.Notice;;
Junior Zone Extras;You’ll unlock that when you’re older.;Junior.Limit.Notice;;
Junior Zone Extras;How do I log my round? (4);Voice.Entry.Help;;
Junior Zone Extras;Can I use voice to track shots? (4);Voice.Entry.Help;;
Junior Zone Extras;What’s the best way to log my mindset? (4);Voice.Entry.Help;;
Junior Zone Extras;Do I have to speak everything? (4);Voice.Entry.Help;;
Junior Zone Extras;Can I check what I just logged? (4);Voice.Entry.Help;;
Junior Zone Extras;Why can’t I use the AI coach? (4);System.Rule.Explain;;
Junior Zone Extras;Why is the microphone off for me? (4);System.Rule.Explain;;
Junior Zone Extras;How old do I have to be to use all features? (4);System.Rule.Explain;;
Junior Zone Extras;What can juniors do in the app? (4);System.Rule.Explain;;
Junior Zone Extras;You’re doing great — keep logging! (4);System.Encourage.Use;;
Junior Zone Extras;Nice work today — every entry helps! (4);System.Encourage.Use;;
Junior Zone Extras;Consistency builds confidence — keep going! (4);System.Encourage.Use;;
Junior Zone Extras;Want to review your last round? (4);System.Encourage.Use;;
Junior Zone Extras;Try a post-shot journal next time you play.;System.Encourage.Use;;
Junior Zone Extras;Earned a badge for logging 5 rounds! (4);Junior.Gamify.Encourage;;
Junior Zone Extras;You just unlocked a new mindset tip.;Junior.Gamify.Encourage;;
